                                                                   CNT    ACC (ms)    OWN (ms)
Total                                                         15342601   30719.216   32096.340
:fprof.apply_start_stop/4                                            0   30719.216       0.005
anonymous fn/0 in :elixir_compiler_1.__FILE__/1                      1   30719.210       0.035
Enum.reduce/3                                                    24898   30370.751      41.019
ExRay.World.render/2                                                 1   30370.135       0.005
Enum."-reduce/3-lists^foldl/2-0-"/3                               1251   30359.214       3.596
anonymous fn/4 in ExRay.World.render/2                            1250   30355.618       6.584
ExRay.Matrix.cofactor/2                                         596352   28268.145    1175.313
ExRay.Matrix.minor/2                                            476352   28195.504    1255.748
Enum.map/2                                                      510022   24931.936     770.551
ExRay.Matrix.submatrix/2                                        476352   24749.495    1300.591
Enum."-map/2-lists^map/1-0-"/2                                 1697930   24377.989    5008.867
ExRay.Matrix.inverse/1                                            8712   22695.809      42.094
ExRay.Matrix.determinant/1                                      486276   22355.292    1055.982
List.delete_at/2                                               1548144   16737.344    3876.934
anonymous fn/3 in ExRay.Matrix.inverse/1                         34848   16115.855      76.324
Enum.reduce_range_inc/4                                         100705   16109.155     244.432
anonymous fn/4 in ExRay.Matrix.inverse/1                         79392   15865.272     196.496
ExRay.World.color_at/2                                            1250   15030.339       7.471
ExRay.Camera.ray_for_pixel/3                                      1250   14979.100      18.165
anonymous fn/2 in ExRay.Matrix.submatrix/2                     1071792   13604.765    1586.216
List.pop_at/2                                                  1548144   12837.627    2348.367
List.pop_at/3                                                  1548144   10480.784    2349.028
List.do_pop_at/4                                               2917656    8126.583    5989.116
ExRay.World.intersect/2                                           1250    7693.883       6.560
ExRay.Computations.new/2                                           606    7237.744       6.014
ExRay.Sphere.normal_at/2                                           606    7226.533       8.701
:proc_lib.init_p/5                                                  25    4273.181       0.959
ExRay.Matrix.invertible?/1                                        4962    3684.448      13.861
:suspend                                                          7053    2896.057       0.000
:proc_lib.init_p_do_apply/3                                         25    2530.850       0.267
Task.Supervised.reply/4                                             25    2530.583       0.483
Task.Supervised.reply/5                                             25    2526.678       0.521
Task.Supervised.invoke_mfa/2                                        25    2525.544       0.313
:erlang.apply/2                                                     25    2525.231       0.185
anonymous fn/3 in ExPng.Chunks.ImageData.from_pixels/4              25    2525.046       0.198
ExPng.Image.Pixelation.from_pixels/4                                25    2524.848       0.941
:lists.reverse/2                                               1574780    2140.275    1751.434
anonymous fn/1 in ExPng.Image.Pixelation.from_pixels/4            1250    1156.606      28.165
anonymous fn/2 in ExPng.Image.Pixelation.from_pixels/4            1250     913.198       7.735
Enum.find_index/2                                                 1250     905.396       7.432
Enum.find_index_list/3                                           40062     897.964     567.986
Enum.join/2                                                       1250     741.283      20.591
:erlang.iolist_to_binary/1                                        3377     683.385      15.351
:garbage_collect                                                 20938     542.092     542.092
String.pad/4                                                      2500     486.008      37.635
String.length/1                                                   2500     406.658      15.375
String.Unicode.length/1                                           2500     391.283      28.123
String.pad_trailing/3                                             2500     380.767      23.748
ExRay.Canvas.save/2                                                  1     348.168       0.001
ExPng.Image.to_file/2                                                1     348.167       0.001
ExPng.Image.to_file/3                                                1     348.166       0.003
ExPng.Image.Encoding.to_raw_data/2                                   1     346.971       0.006
ExRay.Canvas.write/3                                              1250     339.432       7.190
String.Unicode.do_length/2                                       16978     336.128     186.165
ExPng.Image.Encoding.to_raw_data/5                                   1     322.851       0.003
ExPng.Chunks.ImageData.from_pixels/4                                 1     322.385       0.005
anonymous fn/2 in ExPng.Image.Pixelation.from_pixels/4            1250     303.238      13.489
ExPng.Image.draw/3                                                1250     300.621       2.266
anonymous fn/1 in ExPng.Chunks.ImageData.from_pixels/4              25     300.074       0.137
anonymous fn/2 in ExPng.Image.Pixelation.from_pixels/4           40062     300.043     211.586
Task.await/1                                                        25     299.937       0.135
